index,Area,Perimetro,Metrica,Fruta
70,6053,414.88,0.44192,Cantaloupe
71,5993,421.95,0.423,Cantaloupe
72,6045,430.29,0.41028,Cantaloupe
73,6020,415.71,0.43776,Cantaloupe
74,6045,431.22,0.40851,Cantaloupe
75,5955,424.29,0.41568,Cantaloupe
76,6073,429.71,0.41331,Cantaloupe
77,6035,419.71,0.43052,Cantaloupe
78,6095,430.78,0.41274,Cantaloupe
79,6140,454.58,0.37339,Cantaloupe
80,6065,424.05,0.42385,Cantaloupe
81,6048,422.05,0.42667,Cantaloupe
82,7059,418.68,0.50605,Cantaloupe
83,7142,419.26,0.51057,Cantaloupe
84,7176,420.19,0.51074,Cantaloupe
85,7179,426.78,0.4953,Cantaloupe
86,7191,415.26,0.52403,Cantaloupe
87,7036,419.02,0.50358,Cantaloupe
88,7003,409.02,0.52602,Cantaloupe
89,7004,417.85,0.5041,Cantaloupe
90,7007,400.43,0.54914,Cantaloupe
91,6994,405.02,0.53578,Cantaloupe
92,7017,391.02,0.57672,Cantaloupe
93,7075,426.33,0.48915,Cantaloupe
94,7037,421.5,0.49773,Cantaloupe
95,7175,415.85,0.52139,Cantaloupe
96,7174,420.92,0.50883,Cantaloupe
97,7198,423.5,0.50432,Cantaloupe
98,7149,422.19,0.50401,Cantaloupe
99,7170,425.5,0.49765,Cantaloupe
100,7147,430.09,0.48553,Cantaloupe
101,7137,434.48,0.47511,Cantaloupe
102,7184,432.92,0.48169,Cantaloupe
103,7156,421.75,0.50556,Cantaloupe
104,7158,437.4,0.47015,Cantaloupe
105,7153,449.06,0.44575,Cantaloupe
106,7173,445.65,0.45387,Cantaloupe
107,7155,440.82,0.4627,Cantaloupe
108,7163,446.23,0.45205,Cantaloupe
109,7153,458.37,0.42782,Cantaloupe
110,7096,462.72,0.41648,Cantaloupe
111,7093,452.72,0.4349,Cantaloupe
112,7143,336.63,0.79209,Cantaloupe
113,7128,332.39,0.81073,Cantaloupe
114,7079,459.55,0.42123,Cantaloupe
115,7098,463.2,0.41572,Cantaloupe
116,7137,335.81,0.79533,Cantaloupe
117,7108,334.63,0.79766,Cantaloupe
118,7104,330.39,0.81781,Cantaloupe
119,7100,340.63,0.76894,Cantaloupe
120,7073,332.39,0.80448,Cantaloupe
121,6299,410.68,0.46933,Cantaloupe
122,6334,441.5,0.40834,Cantaloupe
123,6252,406.78,0.47481,Cantaloupe
124,6251,408.19,0.47145,Cantaloupe
125,6309,406.78,0.47914,Cantaloupe
126,6281,403.12,0.4857,Cantaloupe
127,6277,407.95,0.47397,Cantaloupe
128,6260,401.12,0.48892,Cantaloupe
129,6157,403.36,0.47554,Cantaloupe
130,6117,416.19,0.44378,Cantaloupe
131,6066,418.78,0.43466,Cantaloupe
132,6130,427.02,0.42245,Cantaloupe
133,6176,399.22,0.48696,Cantaloupe
134,6136,401.46,0.47841,Cantaloupe
135,6163,403.12,0.47658,Cantaloupe
136,6183,411.36,0.45916,Cantaloupe
137,6226,398.53,0.49259,Cantaloupe
138,6266,414.19,0.45899,Cantaloupe
139,6159,409.36,0.46185,Cantaloupe
140,6100,389.81,0.50448,Cantaloupe
141,6244,399.12,0.49257,Cantaloupe
142,6237,398.78,0.49286,Cantaloupe
143,6395,415.85,0.46471,Cantaloupe
144,6459,437.16,0.42471,Cantaloupe
145,6469,433.85,0.43189,Cantaloupe
146,6451,424.68,0.44949,Cantaloupe
147,6453,428.68,0.44128,Cantaloupe
148,6486,419.85,0.46238,Cantaloupe
149,6539,418.19,0.46986,Cantaloupe
150,6438,433.5,0.4305,Cantaloupe
151,6529,430.92,0.44184,Cantaloupe
152,6518,415.85,0.47365,Cantaloupe
153,6815,432.09,0.4587,Cantaloupe
154,6806,429.02,0.46467,Cantaloupe
155,6822,428.68,0.46651,Cantaloupe
156,6841,429.61,0.46579,Cantaloupe
157,6859,425.5,0.47606,Cantaloupe
158,6849,412.43,0.50597,Cantaloupe
159,6854,409.61,0.51336,Cantaloupe
160,6859,417.26,0.49505,Cantaloupe
161,6878,402.19,0.53433,Cantaloupe
162,6860,396.53,0.54824,Cantaloupe
163,7104,415.02,0.51829,Cantaloupe
0,4603,295.28,0.66341,Granadilla
1,4604,294.94,0.6651,Granadilla
2,4618,299.18,0.64834,Granadilla
3,4634,300.35,0.64552,Granadilla
4,4615,296.35,0.66034,Granadilla
5,4615,299.18,0.64792,Granadilla
6,4617,297.76,0.65437,Granadilla
7,4609,299.42,0.64603,Granadilla
8,4637,302.01,0.63887,Granadilla
9,4638,298.35,0.65477,Granadilla
10,4624,298.01,0.6543,Granadilla
11,4623,296.84,0.65933,Granadilla
12,4636,294.59,0.67129,Granadilla
13,4656,301.76,0.64252,Granadilla
14,4660,298.94,0.6553,Granadilla
15,4669,300.94,0.64787,Granadilla
16,4692,304.35,0.63653,Granadilla
17,4717,299.87,0.65921,Granadilla
18,4718,296.69,0.67352,Granadilla
19,4729,297.87,0.66979,Granadilla
20,4741,295.87,0.6806,Granadilla
21,4742,295.28,0.68345,Granadilla
22,4754,296.11,0.68135,Granadilla
23,4900,298.69,0.69017,Granadilla
24,4859,298.79,0.68393,Granadilla
25,4846,300.11,0.67614,Granadilla
26,4821,298.35,0.6806,Granadilla
27,4815,296.94,0.68625,Granadilla
28,4768,298.94,0.67049,Granadilla
29,4766,300.01,0.66543,Granadilla
30,4764,298.59,0.67146,Granadilla
31,4905,301.28,0.67906,Granadilla
32,4852,301.52,0.67065,Granadilla
33,4835,296.35,0.69182,Granadilla
34,4827,297.18,0.68683,Granadilla
35,4815,297.52,0.68355,Granadilla
36,4766,300.01,0.66543,Granadilla
37,4774,299.42,0.66916,Granadilla
38,4770,298.59,0.67231,Granadilla
39,4736,297.52,0.67233,Granadilla
40,4727,297.28,0.67215,Granadilla
41,4714,296.35,0.67451,Granadilla
42,4721,297.42,0.67066,Granadilla
43,4707,298.49,0.66388,Granadilla
44,4693,298.01,0.66406,Granadilla
45,4688,295.76,0.67345,Granadilla
46,4686,298.49,0.66091,Granadilla
47,4684,297.42,0.6654,Granadilla
48,4680,300.94,0.64939,Granadilla
49,4644,297.42,0.65972,Granadilla
50,4639,297.18,0.66008,Granadilla
51,4641,298.84,0.65307,Granadilla
52,4633,300.59,0.64434,Granadilla
53,4619,297.76,0.65465,Granadilla
54,4610,294.84,0.66642,Granadilla
55,4603,294.01,0.66917,Granadilla
56,4602,303.76,0.62673,Granadilla
57,4586,299.42,0.6428,Granadilla
58,4576,294.84,0.66151,Granadilla
59,4583,295.42,0.6599,Granadilla
60,4592,294.94,0.66337,Granadilla
61,4588,296.94,0.65389,Granadilla
62,4579,296.11,0.65627,Granadilla
63,4576,299.52,0.64097,Granadilla
64,4582,298.94,0.64433,Granadilla
65,4580,294.94,0.66164,Granadilla
66,4572,293.87,0.6653,Granadilla
67,4583,293.52,0.66847,Granadilla
68,4589,295.52,0.66031,Granadilla
69,4583,296.69,0.65425,Granadilla
70,4585,295.52,0.65974,Granadilla
71,4581,298.11,0.64777,Granadilla
72,4576,296.69,0.65325,Granadilla
73,4583,297.04,0.65274,Granadilla
74,4574,294.69,0.66186,Granadilla
75,4577,294.94,0.6612,Granadilla
76,4573,298.35,0.64559,Granadilla
77,4572,296.69,0.65268,Granadilla
78,4583,297.28,0.65167,Granadilla
79,4587,297.28,0.65224,Granadilla
80,4585,298.69,0.6458,Granadilla
81,4598,298.11,0.65018,Granadilla
82,4586,293.28,0.67001,Granadilla
83,4466,290.69,0.66414,Granadilla
84,4469,290.11,0.66727,Granadilla
85,4460,290.11,0.66593,Granadilla
86,4464,291.52,0.66007,Granadilla
87,4474,289.87,0.66914,Granadilla
88,4482,291.28,0.66384,Granadilla
89,4510,292.45,0.66264,Granadilla
90,4512,291.62,0.66671,Granadilla
91,4510,292.45,0.66264,Granadilla
92,4446,290.11,0.66384,Granadilla
93,4415,291.18,0.65437,Granadilla
94,4407,290.45,0.65646,Granadilla
95,4412,291.87,0.65085,Granadilla
96,4410,291.62,0.65164,Granadilla
97,4305,291.28,0.63762,Granadilla
98,4311,292.69,0.63236,Granadilla
99,4304,293.52,0.62777,Granadilla
100,4311,290.69,0.64109,Granadilla
101,4308,289.87,0.64431,Granadilla
102,4435,290.11,0.66219,Granadilla
103,4309,289.38,0.64662,Granadilla
104,4309,288.79,0.64925,Granadilla
105,4316,292.69,0.63309,Granadilla
106,4315,295.28,0.62191,Granadilla
107,4318,293.87,0.62834,Granadilla
108,4310,292.21,0.63431,Granadilla
109,4306,290.79,0.6399,Granadilla
110,4302,294.21,0.62456,Granadilla
111,4386,295.62,0.63067,Granadilla
112,4544,291.76,0.67078,Granadilla
113,4536,295.18,0.6542,Granadilla
114,4521,294.84,0.65356,Granadilla
115,4515,295.18,0.65117,Granadilla
116,4514,296.94,0.64335,Granadilla
117,4473,292.69,0.65612,Granadilla
118,4501,294.94,0.65022,Granadilla
119,4500,296.11,0.64495,Granadilla
120,4494,296.94,0.6405,Granadilla
121,4471,293.18,0.65366,Granadilla
122,4471,296.01,0.64122,Granadilla
123,4461,298.35,0.62978,Granadilla
124,4530,297.38,0.6437,Granadilla
125,4539,295.04,0.65527,Granadilla
126,4447,290.21,0.66353,Granadilla
127,4554,291.87,0.6718,Granadilla
128,4576,295.28,0.65952,Granadilla
129,4441,289.28,0.66689,Granadilla
130,4474,290.11,0.66802,Granadilla
131,4471,290.69,0.66488,Granadilla
132,4472,292.69,0.65597,Granadilla
133,4572,302.59,0.62748,Granadilla
134,4467,291.52,0.66052,Granadilla
135,4459,292.11,0.65669,Granadilla
136,4464,290.94,0.66273,Granadilla
137,4477,290.35,0.66735,Granadilla
138,4479,290.11,0.66876,Granadilla
139,4465,290.11,0.66667,Granadilla
140,4463,289.52,0.66907,Granadilla
141,4463,290.69,0.66369,Granadilla
142,4449,291.52,0.65785,Granadilla
143,4429,290.35,0.66019,Granadilla
144,4541,293.76,0.66125,Granadilla
145,4534,295.76,0.65133,Granadilla
146,4518,294.25,0.65573,Granadilla
147,4516,297.18,0.64258,Granadilla
148,4509,296.35,0.64518,Granadilla
149,4501,295.52,0.64765,Granadilla
150,4490,295.52,0.64607,Granadilla
151,4478,295.52,0.64434,Granadilla
152,4463,292.94,0.65357,Granadilla
153,4542,303.76,0.61856,Granadilla
154,4469,292.11,0.65816,Granadilla
155,4569,301.76,0.63051,Granadilla
156,4551,299.52,0.63747,Granadilla
157,4543,300.11,0.63387,Granadilla
158,4497,302.11,0.61917,Granadilla
159,4535,306.11,0.60819,Granadilla
160,4459,288.11,0.67505,Granadilla
161,4478,291.52,0.66214,Granadilla
162,4483,293.76,0.6528,Granadilla
163,4475,292.35,0.65795,Granadilla
0,6783,310.11,0.88635,Mango
1,6903,312.69,0.88718,Mango
2,6906,313.28,0.88425,Mango
3,6476,307.52,0.86053,Mango
4,6905,313.28,0.88412,Mango
5,6476,308.11,0.85726,Mango
6,6488,308.69,0.85559,Mango
7,6487,308.69,0.85546,Mango
8,6486,307.52,0.86186,Mango
9,6494,307.52,0.86292,Mango
10,6495,307.52,0.86305,Mango
11,6352,306.45,0.84996,Mango
12,6357,306.45,0.85063,Mango
13,6366,306.11,0.85374,Mango
14,6373,306.11,0.85468,Mango
15,6384,305.52,0.85945,Mango
16,6392,307.28,0.85071,Mango
17,6404,306.69,0.85556,Mango
18,6413,307.28,0.8535,Mango
19,6420,306.69,0.8577,Mango
20,6433,307.28,0.85616,Mango
21,6444,307.52,0.85628,Mango
22,6445,306.94,0.85968,Mango
23,6459,307.52,0.85827,Mango
24,6471,309.87,0.84691,Mango
25,6901,313.28,0.88361,Mango
26,6483,309.52,0.85036,Mango
27,6512,309.76,0.85283,Mango
28,6384,307.18,0.8502,Mango
29,6402,308.94,0.84292,Mango
30,6433,308.94,0.84701,Mango
31,6457,310.11,0.84375,Mango
32,6473,310.11,0.84584,Mango
33,6490,309.87,0.84939,Mango
34,6517,310.11,0.85159,Mango
35,6564,309.52,0.86099,Mango
36,6855,313.42,0.87692,Mango
37,6877,314.01,0.87646,Mango
38,6907,314.59,0.877,Mango
39,6778,311.28,0.87905,Mango
40,6850,310.49,0.89289,Mango
41,6833,310.49,0.89068,Mango
42,6815,309.91,0.89169,Mango
43,6782,309.32,0.89074,Mango
44,6812,310.01,0.89072,Mango
45,6805,310.01,0.8898,Mango
46,6748,309.42,0.8857,Mango
47,6725,308.01,0.8908,Mango
48,6657,309.18,0.87512,Mango
49,6633,307.18,0.88336,Mango
50,6742,309.52,0.88433,Mango
51,6734,310.69,0.87664,Mango
52,6691,310.11,0.87433,Mango
53,6775,312.45,0.87208,Mango
54,6684,310.69,0.87013,Mango
55,6663,308.11,0.88201,Mango
56,6654,309.87,0.87086,Mango
57,6792,311.28,0.88086,Mango
58,6792,312.45,0.87427,Mango
59,6786,312.45,0.8735,Mango
60,6781,311.87,0.87613,Mango
61,6770,312.45,0.87144,Mango
62,6769,312.45,0.87131,Mango
63,6767,312.11,0.87297,Mango
64,6766,311.52,0.87612,Mango
65,6760,311.52,0.87535,Mango
66,6757,310.94,0.87826,Mango
67,6910,314.11,0.8801,Mango
68,6911,314.11,0.88023,Mango
69,6907,314.11,0.87972,Mango
70,6899,313.28,0.88335,Mango
71,6900,313.28,0.88348,Mango
72,6894,312.69,0.88602,Mango
73,6898,312.69,0.88653,Mango
74,6899,314.11,0.8787,Mango
75,6897,313.52,0.88173,Mango
76,6771,313.04,0.86831,Mango
77,6764,311.87,0.87394,Mango
78,6775,312.11,0.874,Mango
79,6764,312.11,0.87258,Mango
80,6768,312.11,0.87309,Mango
81,6759,310.35,0.88184,Mango
82,6756,310.94,0.87813,Mango
83,7671,340.35,0.83217,Mango
84,7649,338.59,0.83841,Mango
85,7633,340.25,0.82853,Mango
86,6767,315.42,0.85472,Mango
87,6795,316.25,0.85377,Mango
88,6820,316.01,0.85822,Mango
89,6551,310.49,0.85392,Mango
90,6582,311.08,0.85473,Mango
91,6609,310.84,0.85958,Mango
92,6631,310.84,0.86244,Mango
93,6506,308.84,0.85717,Mango
94,6535,309.18,0.85909,Mango
95,6555,309.18,0.86171,Mango
96,6574,309.76,0.86095,Mango
97,6608,311.18,0.85755,Mango
98,6482,307.42,0.86189,Mango
99,6496,308.01,0.86047,Mango
100,6517,308.84,0.85862,Mango
101,6540,308.59,0.86301,Mango
102,6548,307.18,0.87204,Mango
103,6420,306.01,0.86155,Mango
104,6441,304.59,0.87242,Mango
105,6445,304.59,0.87296,Mango
106,6463,305.42,0.87065,Mango
107,6480,304.59,0.8777,Mango
108,6491,306.35,0.86913,Mango
109,6506,304.59,0.88122,Mango
110,6516,306.59,0.8711,Mango
111,6524,305.18,0.88027,Mango
112,6678,307.76,0.88597,Mango
113,6694,308.35,0.88472,Mango
114,6702,309.18,0.88104,Mango
115,6717,309.76,0.87967,Mango
116,6732,308.35,0.88974,Mango
117,6735,308.35,0.89014,Mango
118,6735,308.35,0.89014,Mango
119,6601,307.52,0.87714,Mango
120,6617,306.35,0.886,Mango
121,6615,306.94,0.88236,Mango
122,6618,308.11,0.87606,Mango
123,6491,304.59,0.87919,Mango
124,6482,305.18,0.8746,Mango
125,6611,307.18,0.88043,Mango
126,6612,307.76,0.87721,Mango
127,6609,307.18,0.88016,Mango
128,6481,307.42,0.86176,Mango
129,6471,306.01,0.8684,Mango
130,6587,305.76,0.88537,Mango
131,6578,307.52,0.87408,Mango
132,6572,307.52,0.87328,Mango
133,6423,304.94,0.86802,Mango
134,6429,305.18,0.86745,Mango
135,6555,308.11,0.86772,Mango
136,7551,336.49,0.83804,Mango
137,6552,305.76,0.88066,Mango
138,6541,305.18,0.88256,Mango
139,6526,305.18,0.88054,Mango
140,6661,307.76,0.88372,Mango
141,6510,305.18,0.87838,Mango
142,6491,304.35,0.88059,Mango
143,6634,307.76,0.88013,Mango
144,6723,310.11,0.87851,Mango
145,6703,310.69,0.8726,Mango
146,6664,307.76,0.88411,Mango
147,6649,307.76,0.88212,Mango
148,6637,306.59,0.88727,Mango
149,6742,309.76,0.88295,Mango
150,7669,340.01,0.83363,Mango
151,7639,339.42,0.83324,Mango
152,7629,339.42,0.83215,Mango
153,6360,312.84,0.81665,Mango
154,6375,313.42,0.81552,Mango
155,6232,313.18,0.79846,Mango
156,6237,312.25,0.80386,Mango
157,6410,314.01,0.81694,Mango
158,6419,315.76,0.809,Mango
159,6276,313.42,0.80285,Mango
160,6286,314.59,0.79815,Mango
161,6444,314.59,0.81822,Mango
162,6453,314.59,0.81936,Mango
163,6465,316.59,0.81054,Mango
0,7146,326.69,0.84138,Raspberry
1,7155,330.94,0.82098,Raspberry
2,7166,324.94,0.85289,Raspberry
3,7192,324.69,0.85726,Raspberry
4,7218,327.52,0.84556,Raspberry
5,7245,327.28,0.84999,Raspberry
6,7274,326.69,0.85645,Raspberry
7,7296,328.69,0.84862,Raspberry
8,7332,328.69,0.85281,Raspberry
9,7367,327.52,0.86302,Raspberry
10,7403,330.21,0.85318,Raspberry
11,7439,327.87,0.86963,Raspberry
12,7469,329.28,0.86565,Raspberry
13,7611,334.45,0.85504,Raspberry
14,7564,332.21,0.86127,Raspberry
15,7550,333.87,0.85117,Raspberry
16,7552,333.42,0.85366,Raspberry
17,7532,336.35,0.83664,Raspberry
18,7519,336.59,0.83399,Raspberry
19,7498,333.76,0.84581,Raspberry
20,7495,338.84,0.82036,Raspberry
21,7471,329.52,0.86461,Raspberry
22,7461,333.52,0.84287,Raspberry
23,7458,331.76,0.85148,Raspberry
24,7444,332.69,0.84514,Raspberry
25,7462,342.94,0.79733,Raspberry
26,7452,338.94,0.81517,Raspberry
27,7436,333.87,0.83832,Raspberry
28,7438,330.69,0.8547,Raspberry
29,7433,331.87,0.84811,Raspberry
30,7445,331.62,0.85072,Raspberry
31,7459,343.28,0.79542,Raspberry
32,7444,331.62,0.85061,Raspberry
33,7416,331.04,0.85041,Raspberry
34,7421,329.87,0.85704,Raspberry
35,7417,329.62,0.85784,Raspberry
36,7445,334.45,0.83639,Raspberry
37,7284,329.87,0.84122,Raspberry
38,7282,328.45,0.84824,Raspberry
39,7277,327.04,0.85501,Raspberry
40,7264,326.45,0.85655,Raspberry
41,7252,324.45,0.86571,Raspberry
42,7255,325.04,0.86294,Raspberry
43,7260,326.45,0.85607,Raspberry
44,7125,321.87,0.86427,Raspberry
45,7298,328.11,0.85189,Raspberry
46,7141,321.04,0.87068,Raspberry
47,7323,328.69,0.85176,Raspberry
48,7186,322.45,0.8685,Raspberry
49,7205,322.69,0.86949,Raspberry
50,7228,323.52,0.8678,Raspberry
51,7248,324.69,0.86393,Raspberry
52,7272,326.69,0.85622,Raspberry
53,7289,327.52,0.85388,Raspberry
54,7331,329.18,0.85018,Raspberry
55,7368,328.94,0.85573,Raspberry
56,7434,329.76,0.85906,Raspberry
57,7480,338.01,0.82273,Raspberry
58,7515,338.01,0.82658,Raspberry
59,7539,332.25,0.85821,Raspberry
60,7575,334.35,0.85151,Raspberry
61,7825,342.84,0.83661,Raspberry
62,7779,348.94,0.80286,Raspberry
63,7757,343.42,0.82651,Raspberry
64,7557,336.25,0.83991,Raspberry
65,7527,344.84,0.79544,Raspberry
66,7485,337.76,0.82447,Raspberry
67,7451,333.42,0.84224,Raspberry
68,7415,335.42,0.82821,Raspberry
69,7406,336.35,0.82264,Raspberry
70,7255,337.18,0.80191,Raspberry
71,7232,338.59,0.79271,Raspberry
72,7209,335.18,0.80637,Raspberry
73,7206,332.84,0.81742,Raspberry
74,7184,331.18,0.8231,Raspberry
75,7138,327.18,0.83795,Raspberry
76,7115,325.66,0.84303,Raspberry
77,7130,336.01,0.7936,Raspberry
78,7127,338.01,0.78391,Raspberry
79,7110,332.01,0.81056,Raspberry
80,7119,328.94,0.82681,Raspberry
81,7121,333.28,0.80563,Raspberry
82,7140,332.35,0.8123,Raspberry
83,6504,310.84,0.84592,Raspberry
84,6518,315.42,0.82327,Raspberry
85,6368,310.59,0.82953,Raspberry
86,6371,309.52,0.83567,Raspberry
87,6384,307.76,0.84697,Raspberry
88,6413,308.94,0.84437,Raspberry
89,6432,309.66,0.8429,Raspberry
90,6462,316.25,0.81193,Raspberry
91,6455,308.01,0.85504,Raspberry
92,6479,314.84,0.82139,Raspberry
93,6166,305.52,0.8301,Raspberry
94,6489,313.42,0.8301,Raspberry
95,6490,313.76,0.82841,Raspberry
96,6497,312.84,0.83424,Raspberry
97,6377,312.94,0.8183,Raspberry
98,6372,310.11,0.83265,Raspberry
99,6387,311.52,0.82705,Raspberry
100,6410,318.01,0.79652,Raspberry
101,6710,318.35,0.832,Raspberry
102,6709,317.18,0.83803,Raspberry
103,6402,315.52,0.8081,Raspberry
104,6389,310.94,0.83043,Raspberry
105,6548,314.94,0.82961,Raspberry
106,5932,304.35,0.80475,Raspberry
107,7000,323.66,0.83969,Raspberry
108,6846,327.42,0.80248,Raspberry
109,6846,325.52,0.81187,Raspberry
110,6850,323.66,0.8217,Raspberry
111,6044,300.94,0.83866,Raspberry
112,6865,328.01,0.80183,Raspberry
113,7034,326.35,0.82994,Raspberry
114,6573,318.35,0.81501,Raspberry
115,6715,320.01,0.82402,Raspberry
116,6048,304.94,0.81734,Raspberry
117,6553,317.66,0.81604,Raspberry
118,6581,320.84,0.80341,Raspberry
119,6723,322.84,0.81061,Raspberry
120,6705,320.59,0.81979,Raspberry
121,6716,320.84,0.81989,Raspberry
122,6852,318.59,0.84831,Raspberry
123,6675,314.01,0.85071,Raspberry
124,6688,318.59,0.82801,Raspberry
125,6991,324.01,0.83684,Raspberry
126,6965,321.42,0.84719,Raspberry
127,6964,319.42,0.85771,Raspberry
128,6742,320.59,0.82431,Raspberry
129,6849,315.66,0.86375,Raspberry
130,6060,306.84,0.80886,Raspberry
131,6035,305.52,0.81246,Raspberry
132,6025,305.87,0.8093,Raspberry
133,6164,303.76,0.83946,Raspberry
134,6034,307.76,0.80053,Raspberry
135,6053,300.35,0.84319,Raspberry
136,6044,301.52,0.8354,Raspberry
137,6053,300.35,0.84319,Raspberry
138,6050,300.11,0.84413,Raspberry
139,6061,304.94,0.8191,Raspberry
140,6055,306.01,0.81257,Raspberry
141,6060,307.08,0.80758,Raspberry
142,6029,307.76,0.79987,Raspberry
143,6045,305.52,0.81381,Raspberry
144,6044,305.87,0.81185,Raspberry
145,6036,313.18,0.77335,Raspberry
146,6021,305.76,0.80929,Raspberry
147,6004,304.01,0.81636,Raspberry
148,6115,307.76,0.81128,Raspberry
149,5993,307.18,0.79813,Raspberry
150,5976,302.11,0.82281,Raspberry
151,6004,301.76,0.82854,Raspberry
152,6173,310.84,0.80287,Raspberry
153,6273,311.08,0.8146,Raspberry
154,6356,312.94,0.81561,Raspberry
155,6144,314.84,0.77892,Raspberry
156,6129,308.35,0.81005,Raspberry
157,6081,304.69,0.82311,Raspberry
158,6082,307.28,0.80945,Raspberry
159,6071,307.18,0.80851,Raspberry
160,6058,308.35,0.80066,Raspberry
161,6164,305.76,0.82851,Raspberry
162,5984,302.94,0.81941,Raspberry
163,6857,322.11,0.8305,Raspberry
0,5863,306.79,0.78277,Strawberry
1,5863,306.79,0.78277,Strawberry
2,5863,306.79,0.78277,Strawberry
3,5863,306.79,0.78277,Strawberry
4,5863,306.79,0.78277,Strawberry
5,5863,306.79,0.78277,Strawberry
6,5863,306.79,0.78277,Strawberry
7,5863,306.79,0.78277,Strawberry
8,5863,306.79,0.78277,Strawberry
9,5863,306.79,0.78277,Strawberry
10,5863,306.79,0.78277,Strawberry
11,5863,306.79,0.78277,Strawberry
12,5863,306.79,0.78277,Strawberry
13,5863,306.79,0.78277,Strawberry
14,5863,306.79,0.78277,Strawberry
15,5863,306.79,0.78277,Strawberry
16,5863,306.79,0.78277,Strawberry
17,5863,306.79,0.78277,Strawberry
18,5863,306.79,0.78277,Strawberry
19,5863,306.79,0.78277,Strawberry
20,5863,306.79,0.78277,Strawberry
21,5863,306.79,0.78277,Strawberry
22,5863,306.79,0.78277,Strawberry
23,5863,306.79,0.78277,Strawberry
24,5863,306.79,0.78277,Strawberry
25,5863,306.79,0.78277,Strawberry
26,5863,306.79,0.78277,Strawberry
27,5863,306.79,0.78277,Strawberry
28,5863,306.79,0.78277,Strawberry
29,5863,306.79,0.78277,Strawberry
30,5863,306.79,0.78277,Strawberry
31,5863,306.79,0.78277,Strawberry
32,5863,306.79,0.78277,Strawberry
33,5863,306.79,0.78277,Strawberry
34,5863,306.79,0.78277,Strawberry
35,5863,306.79,0.78277,Strawberry
36,5863,306.79,0.78277,Strawberry
37,5863,306.79,0.78277,Strawberry
38,5863,306.79,0.78277,Strawberry
39,5863,306.79,0.78277,Strawberry
40,5863,306.79,0.78277,Strawberry
41,5863,306.79,0.78277,Strawberry
